anio;trimestre;provincia;media_bajada_mbps;adsl;cablemodem;fibra_optica;wireless;otras_tecnologias;total_tecnologia;512kbps;512kbps_1mbps;1mbps_6mbps;6mbps_10mbps;10mbps_20mbps;20mbps_30mbps;30mbps;otras_velocidades;total_velocidad;accesos_100_hogares
2021;3;Santiago Del Estero;13;19939;85535;909;6147;2928;115458;1230;9090;32752;61838;11274;8010;6863;89800;115458;47.0
2021;3;Tierra Del Fuego;10;12853;36958;6;160;3900;50223;170;0;23723;13397;9782;1433;976;89500;50223;94.95
2021;3;Tucuman;42;104489;53868;70964;2408;7430;232472;320;970;39446;50293;21986;53;115154;16400;232472;54.64
2021;2;Buenos Aires;53;603255;2503830;854173;113546;57547;4132351;37192;31178;1096049;244001;140322;236897;2337604;90108;4132351;70.0
2021;2;Capital Federal;73;148989;1175097;41318;558;29371;1400355;2940;6030;157558;73568;43859;86655;1037752;6600;1400355;110.14
2021;2;Catamarca;42;20305;9426;22331;1449;2233;55744;710;0;7219;9091;6828;4941;25388;20206;55744;52.34
2021;2;Chaco;37;39826;62948;27584;8018;2353;140729;3010;1120;23444;21574;24032;16069;47239;70958;140729;43.33
2021;2;Chubut;8;49271;41497;6081;23682;18706;139237;1040;1050;89639;22605;16604;3896;1112;50172;139237;72.29
2021;2;Cordoba;40;239780;467782;151855;55944;15519;930880;990;2452;201757;136516;6695;70824;442357;90925;930880;80.12
2021;2;Corrientes;30;46648;67262;3731;6557;5303;129501;670;6450;29419;27037;24524;10059;32697;50053;129501;43.54
2021;2;Entre Rios;28;77836;124957;17856;23786;13197;257632;1070;3024;63518;55349;39468;18484;61605;160077;257632;61.66
2021;2;Formosa;24;19571;12509;3610;1569;1710;51551;3810;0;22364;731;746;1341;11077;10618;51551;33.23
2021;2;Jujuy;26;24738;60800;19611;2731;3968;111848;480;1750;24182;16577;37908;6070;29950;20401;111848;56.18
2021;2;La Pampa;12;9017;57014;17132;13209;1295;97667;2980;5540;64146;7769;8128;3399;9311;40062;97667;82.08
2021;2;La Rioja;39;11627;54255;9445;6245;300;81602;180;10;5312;5971;23298;4825;42158;1900;81602;76.98
2021;2;Mendoza;13;91503;70834;44696;21811;8270;229671;360;310;137462;10886;56117;4403;20686;5000;229671;40.97
2021;2;Misiones;29;44960;87861;10376;5317;7662;156176;510;50;41643;25907;25811;16172;38308;80279;156176;45.01
2021;2;Neuquen;36;30083;72690;15619;19218;6400;138250;1120;3270;57713;8631;5871;5943;54008;50645;138250;69.14
2021;2;Rio Negro;24;48189;43761;18727;15031;18376;144084;1250;5570;69356;3663;15019;3867;31488;200009;144084;61.94
2021;2;Salta;29;51396;96016;32050;5724;6453;191639;1010;200;42543;67012;7099;9654;58882;60328;191639;54.93
2021;2;San Juan;7;40072;12369;6673;11372;8447;78933;180;3330;59989;7840;1255;3400;278;40641;78933;39.28
2021;2;San Luis;22;8417;11308;28;6686;36205;122818;600;0;11752;2703;5418;65946;22;360917;122818;83.48
2021;2;Santa Cruz;8;12347;22967;6328;4269;3071;48982;500;0;30595;8463;6888;1575;676;73500;48982;44.01
2021;2;Santa Fe;31;256741;431915;90424;43997;17523;840600;4670;8960;202018;204077;80452;75195;262124;150371;840600;75.07
2021;2;Santiago Del Estero;13;20734;83770;909;5081;3596;114090;1230;9090;32034;62224;10359;8110;6064;10566;114090;46.56
2021;2;Tierra Del Fuego;9;12853;22504;6;140;3160;35693;170;0;21335;6913;458;4760;889;10483;35693;67.89
2021;2;Tucuman;40;110429;48359;71683;1837;7430;233051;320;970;40224;51648;23732;5022;109616;2068;233051;54.93
2021;1;Buenos Aires;51;629679;2452056;821597;98806;57864;4060002;36939;31187;1108368;24052;163747;222061;2246313;100867;4060002;69.11
2021;1;Capital Federal;68;159805;1145093;39980;5559;29236;1379673;1350;2440;159662;76753;56457;83255;1003041;12600;1379673;108.42
2021;1;Catamarca;40;26316;4409;18688;3220;2233;51968;710;0;7423;8455;10115;7120;22996;20196;51968;48.9
2021;1;Chaco;34;43214;61251;25426;8004;1875;139770;3010;1120;24357;22102;27556;14496;42462;80384;139770;43.14
2021;1;Chubut;8;45501;40960;3444;23723;18712;132340;1060;1090;86986;21401;15392;2844;1112;4039;132340;68.99
2021;1;Cordoba;36;260350;444695;134634;54137;17065;910881;930;2386;211799;135092;74659;71984;402191;120677;910881;78.59
2021;1;Corrientes;26;49160;62876;3337;5949;5303;126625;670;5270;31544;26223;26169;9001;27641;50453;126625;42.66
